Company Name,Business Sector,Category,Tags,H1B Sponsorship Likelihood,Fortune 500 (yes/no),Fortune 1500 (Yes if 500-1500/No),Boutique (Yes/No),AnalystsPick (Popular amoung Wallstreet waiting for IPO),Publicly traded (Yes/No)
"Data Dynamics","HR Tech",Mid-Market,"Mid-Market, Series B/C",Medium,no,no,No,No,No
"Tech Ventures","Logistics Tech",Mid-Market,"Boutique, Fast-Growing",High,no,no,Yes,No,No
"Echo Sphere","AI & Machine Learning",Mid-Market,"Mid-Market, Series B/C",High,no,no,No,No,No
"Vault Ventures","Web3 & Crypto",Mid-Market,"Mid-Market, Series B/C",Medium-High,no,no,No,No,No
"Cogito Tech","E-commerce",Mid-Market,"Mid-Market, Series B/C",Very High,no,no,No,No,No
"Nova Security","Enterprise SaaS",Mid-Market,"Mid-Market, Series B/C",Very High,no,no,No,No,No
"Aegis Solutions","Fintech",Mid-Market,"Mid-Market, Series B/C",Very High,no,no,No,No,No
"ForgeSoft","Fintech",Mid-Market,"Boutique, Fast-Growing",Medium-High,no,no,Yes,No,No
"CyberOps","Cloud Infrastructure",Mid-Market,"Boutique, Fast-Growing",Medium-High,no,no,Yes,No,No
"Flux Health","Cybersecurity",Mid-Market,"Mid-Market, Series B/C",Very High,no,no,No,No,No
"Tech Genomics","Web3 & Crypto",Mid-Market,"Boutique, Fast-Growing",Very High,no,no,Yes,No,No
"Vanguard Capital","CleanTech",Mid-Market,"Boutique, Fast-Growing",Very High,no,no,Yes,No,No
"Core Solutions","Enterprise SaaS",Mid-Market,"Boutique, Fast-Growing",Medium,no,no,Yes,No,No
"Data Ops","HealthTech",Mid-Market,"Mid-Market, Series B/C",High,no,no,No,No,No
"ShiftHealth","HealthTech",Mid-Market,"Mid-Market, Series B/C",Very High,no,no,No,No,No
"Echo Genomics","AI & Machine Learning",Mid-Market,"Mid-Market, Series B/C",High,no,no,No,No,No
"Omni Sphere","CleanTech",Mid-Market,"Boutique, Fast-Growing",High,no,no,Yes,No,No
"Aegis Tech","Data & Analytics",Mid-Market,"Boutique, Fast-Growing",Medium,no,no,Yes,No,No
"Forge Networks","Web3 & Crypto",Mid-Market,"Boutique, Fast-Growing",Medium,no,no,Yes,No,No
"Nova Dynamics","Fintech",Mid-Market,"Boutique, Fast-Growing",Medium,no,no,Yes,No,No
"Cloud Tech","Consumer Tech",Mid-Market,"Mid-Market, Series B/C",High,no,no,No,No,No
"NexusAnalytics","Enterprise SaaS",Mid-Market,"Boutique, Fast-Growing",Medium-High,no,no,Yes,No,No
"Neuro Intelligence","Logistics Tech",Mid-Market,"Boutique, Fast-Growing",Medium-High,no,no,Yes,No,No
"Vault Technologies","HR Tech",Mid-Market,"Boutique, Fast-Growing",Very High,no,no,Yes,No,No
"Quantum Ops","Consumer Tech",Mid-Market,"Boutique, Fast-Growing",Medium-High,no,no,Yes,No,No
"Nova Systems","Cloud Infrastructure",Mid-Market,"Boutique, Fast-Growing",Medium,no,no,Yes,No,No
"Health Web","HealthTech",Mid-Market,"Mid-Market, Series B/C",Medium,no,no,No,No,No
"Kinex Logic","Data & Analytics",Mid-Market,"Boutique, Fast-Growing",Very High,no,no,Yes,No,No
"Nexus Cloud","Cybersecurity",Mid-Market,"Mid-Market, Series B/C",High,no,no,No,No,No
"Data Health","AI & Machine Learning",Mid-Market,"Boutique, Fast-Growing",Very High,no,no,Yes,No,No
"Tech Genomics","AI & Machine Learning",Mid-Market,"Mid-Market, Series B/C",Medium,no,no,No,No,No
"Vanguard Intelligence","E-commerce",Mid-Market,"Boutique, Fast-Growing",High,no,no,Yes,No,No
"BioCloud","Fintech",Mid-Market,"Mid-Market, Series B/C",High,no,no,No,No,No
"NeuroAI","Legal Tech",Mid-Market,"Boutique, Fast-Growing",Medium,no,no,Yes,No,No
"Cyber Security","Cloud Infrastructure",Mid-Market,"Boutique, Fast-Growing",Medium-High,no,no,Yes,No,No
"Aegis Genomics","Cybersecurity",Mid-Market,"Mid-Market, Series B/C",Very High,no,no,No,No,No
"Cyber Ventures","HealthTech",Mid-Market,"Boutique, Fast-Growing",Medium-High,no,no,Yes,No,No
"Vault Capital","Cloud Infrastructure",Mid-Market,"Boutique, Fast-Growing",Very High,no,no,Yes,Yes,No
"Shift Tech","HR Tech",Mid-Market,"Boutique, Fast-Growing",High,no,no,Yes,No,No
"Apex Capital","HealthTech",Mid-Market,"Boutique, Fast-Growing",Medium,no,no,Yes,No,No
"Cogito Cloud","E-commerce",Mid-Market,"Mid-Market, Series B/C",Medium-High,no,no,No,No,No
"Bio Ops","CleanTech",Mid-Market,"Boutique, Fast-Growing",Medium-High,no,no,Yes,Yes,No
"KinexAI","HR Tech",Mid-Market,"Mid-Market, Series B/C",Very High,no,no,No,No,No
"Vanguard Networks","Fintech",Mid-Market,"Mid-Market, Series B/C",Very High,no,no,No,No,No
"Neuro Genomics","CleanTech",Mid-Market,"Mid-Market, Series B/C",Medium,no,no,No,No,No
"VertexSystems","Consumer Tech",Mid-Market,"Mid-Market, Series B/C",High,no,no,No,No,No
"NexusCloud","Enterprise SaaS",Mid-Market,"Boutique, Fast-Growing",Medium,no,no,Yes,No,No
"ApexHealth","HR Tech",Mid-Market,"Mid-Market, Series B/C",Medium-High,no,no,No,No,No
"Nova Robotics","Legal Tech",Mid-Market,"Boutique, Fast-Growing",Very High,no,no,Yes,No,No
"Fin Logic","Cybersecurity",Mid-Market,"Mid-Market, Series B/C",Medium-High,no,no,No,No,No
"Health Grid","Consumer Tech",Mid-Market,"Boutique, Fast-Growing",High,no,no,Yes,No,No
"Deep Matrix","E-commerce",Mid-Market,"Mid-Market, Series B/C",Medium-High,no,no,No,No,No
"VertexData","HealthTech",Mid-Market,"Mid-Market, Series B/C",Medium,no,no,No,No,No
"EchoAnalytics","CleanTech",Mid-Market,"Mid-Market, Series B/C",Very High,no,no,No,No,No
"Lumi Dynamics","Cybersecurity",Mid-Market,"Mid-Market, Series B/C",Very High,no,no,No,No,No
"Bio Analytics","Cloud Infrastructure",Mid-Market,"Mid-Market, Series B/C",Medium-High,no,no,No,No,No
"Cloud Logic","E-commerce",Mid-Market,"Mid-Market, Series B/C",High,no,no,No,No,No
"Axiom Logic","CleanTech",Mid-Market,"Mid-Market, Series B/C",Medium-High,no,no,No,No,No
"Axiom Health","Fintech",Mid-Market,"Boutique, Fast-Growing",High,no,no,Yes,No,No
"Vault Intelligence","HealthTech",Mid-Market,"Mid-Market, Series B/C",Very High,no,no,No,No,No
"Data Genomics","Logistics Tech",Mid-Market,"Mid-Market, Series B/C",Medium,no,no,No,No,No
"Deep Labs","Enterprise SaaS",Mid-Market,"Mid-Market, Series B/C",Medium-High,no,no,No,No,No
"ForgeAnalytics","Cloud Infrastructure",Mid-Market,"Boutique, Fast-Growing",High,no,no,Yes,No,No
"Omni Matrix","AI & Machine Learning",Mid-Market,"Boutique, Fast-Growing",Medium-High,no,no,Yes,No,No
"Kinex Systems","Logistics Tech",Mid-Market,"Boutique, Fast-Growing",Medium-High,no,no,Yes,No,No
"Pulse Capital","Cloud Infrastructure",Mid-Market,"Boutique, Fast-Growing",Medium-High,no,no,Yes,No,No
"SyntheVentures","Consumer Tech",Mid-Market,"Mid-Market, Series B/C",High,no,no,No,No,No
"NeuroLogic","Legal Tech",Mid-Market,"Mid-Market, Series B/C",Very High,no,no,No,No,No
"HealthCloud","E-commerce",Mid-Market,"Mid-Market, Series B/C",Medium,no,no,No,No,No
"Bio Systems","Cybersecurity",Mid-Market,"Boutique, Fast-Growing",High,no,no,Yes,No,No
"QuantumTech","Cybersecurity",Mid-Market,"Mid-Market, Series B/C",High,no,no,No,No,No
"Forge Solutions","Consumer Tech",Mid-Market,"Boutique, Fast-Growing",Very High,no,no,Yes,No,No
"Fin Intelligence","CleanTech",Mid-Market,"Boutique, Fast-Growing",Very High,no,no,Yes,No,No
"Pulse Tech","E-commerce",Mid-Market,"Mid-Market, Series B/C",Medium-High,no,no,No,No,No
"Pulse Analytics","Data & Analytics",Mid-Market,"Mid-Market, Series B/C",Medium,no,no,No,No,No
"Axiom Soft","AI & Machine Learning",Mid-Market,"Boutique, Fast-Growing",Medium-High,no,no,Yes,No,No
"AegisHealth","Data & Analytics",Mid-Market,"Mid-Market, Series B/C",Medium-High,no,no,No,No,No
"BioLogic","HealthTech",Mid-Market,"Mid-Market, Series B/C",High,no,no,No,No,No
"BioSystems","HealthTech",Mid-Market,"Boutique, Fast-Growing",Very High,no,no,Yes,No,No
"Kinex Labs","Cloud Infrastructure",Mid-Market,"Mid-Market, Series B/C",High,no,no,No,No,No
"Nexus Networks","Cybersecurity",Mid-Market,"Boutique, Fast-Growing",Medium,no,no,Yes,No,No
"VaultSecurity","AI & Machine Learning",Mid-Market,"Boutique, Fast-Growing",High,no,no,Yes,No,No
"CogitoHealth","AI & Machine Learning",Mid-Market,"Mid-Market, Series B/C",Medium-High,no,no,No,No,No
"Flux Data","CleanTech",Mid-Market,"Mid-Market, Series B/C",Medium-High,no,no,No,No,No
"Quantum Ventures","AI & Machine Learning",Mid-Market,"Mid-Market, Series B/C",Medium,no,no,No,No,No
"Vanguard Analytics","HR Tech",Mid-Market,"Boutique, Fast-Growing",Very High,no,no,Yes,No,No
"VanguardTech","Web3 & Crypto",Mid-Market,"Mid-Market, Series B/C",High,no,no,No,No,No
"Omni Security","Data & Analytics",Mid-Market,"Boutique, Fast-Growing",High,no,no,Yes,No,No
"Apex Soft","Cloud Infrastructure",Mid-Market,"Mid-Market, Series B/C",Medium-High,no,no,No,No,No
"Axiom Intelligence","E-commerce",Mid-Market,"Boutique, Fast-Growing",Medium,no,no,Yes,No,No
"Nova Technologies","Data & Analytics",Mid-Market,"Mid-Market, Series B/C",Medium,no,no,No,No,No
"VertexCyber","Cloud Infrastructure",Mid-Market,"Boutique, Fast-Growing",High,no,no,Yes,No,No
"Nexus Networks","HealthTech",Mid-Market,"Boutique, Fast-Growing",Very High,no,no,Yes,No,No
"Quantum Solutions","Data & Analytics",Mid-Market,"Mid-Market, Series B/C",Medium-High,no,no,No,No,No
"Nova Dynamics","Enterprise SaaS",Mid-Market,"Mid-Market, Series B/C",Medium,no,no,No,No,No
"Flux Dynamics","Fintech",Mid-Market,"Mid-Market, Series B/C",Medium,no,no,No,No,No
"Flux Sphere","Consumer Tech",Mid-Market,"Boutique, Fast-Growing",Medium-High,no,no,Yes,No,No
"Kinex Grid","Web3 & Crypto",Mid-Market,"Boutique, Fast-Growing",High,no,no,Yes,No,No
"Shift Security","HR Tech",Mid-Market,"Mid-Market, Series B/C",Medium-High,no,no,No,No,No
"Tech Networks","Cybersecurity",Mid-Market,"Boutique, Fast-Growing",Very High,no,no,Yes,No,No
"OmniCloud","HealthTech",Mid-Market,"Boutique, Fast-Growing",High,no,no,Yes,No,No
"Vertex Solutions","Cloud Infrastructure",Mid-Market,"Boutique, Fast-Growing",Medium,no,no,Yes,Yes,No
"Core Logic","AI & Machine Learning",Mid-Market,"Mid-Market, Series B/C",High,no,no,No,Yes,No
"Vault Ventures","HealthTech",Mid-Market,"Boutique, Fast-Growing",Medium,no,no,Yes,No,No
"Cloud Ops","E-commerce",Mid-Market,"Mid-Market, Series B/C",Very High,no,no,No,No,No
"PulseAI","Fintech",Mid-Market,"Boutique, Fast-Growing",High,no,no,Yes,No,No
"Cyber Cloud","HR Tech",Mid-Market,"Boutique, Fast-Growing",Very High,no,no,Yes,No,No
"DataAnalytics","Consumer Tech",Mid-Market,"Boutique, Fast-Growing",Medium,no,no,Yes,No,No
"Nexus Systems","Consumer Tech",Mid-Market,"Mid-Market, Series B/C",Very High,no,no,No,Yes,No
"Shift Solutions","Web3 & Crypto",Mid-Market,"Mid-Market, Series B/C",Medium-High,no,no,No,No,No
"Cogito Data","HealthTech",Mid-Market,"Mid-Market, Series B/C",Medium,no,no,No,No,No
"ZephyrSecurity","Cybersecurity",Mid-Market,"Mid-Market, Series B/C",Medium-High,no,no,No,No,No
"CyberMatrix","Web3 & Crypto",Mid-Market,"Boutique, Fast-Growing",High,no,no,Yes,No,No
"DeepSoft","Data & Analytics",Mid-Market,"Mid-Market, Series B/C",Very High,no,no,No,No,No
"Kinex Intelligence","Cloud Infrastructure",Mid-Market,"Mid-Market, Series B/C",Medium,no,no,No,No,No
"Apex Networks","CleanTech",Mid-Market,"Boutique, Fast-Growing",Medium,no,no,Yes,No,No
"VertexMatrix","CleanTech",Mid-Market,"Mid-Market, Series B/C",Medium-High,no,no,No,No,No
"Pulse Technologies","Consumer Tech",Mid-Market,"Mid-Market, Series B/C",Very High,no,no,No,No,No
"Aegis Analytics","HealthTech",Mid-Market,"Mid-Market, Series B/C",Very High,no,no,No,No,No
"AxiomSolutions","HR Tech",Mid-Market,"Boutique, Fast-Growing",High,no,no,Yes,No,No
"AxiomLabs","Logistics Tech",Mid-Market,"Boutique, Fast-Growing",Medium,no,no,Yes,No,No
"Lumi Data","Data & Analytics",Mid-Market,"Boutique, Fast-Growing",Medium,no,no,Yes,No,No
"Health Labs","Logistics Tech",Mid-Market,"Boutique, Fast-Growing",Medium-High,no,no,Yes,No,No
"TechAnalytics","Enterprise SaaS",Mid-Market,"Boutique, Fast-Growing",Medium-High,no,no,Yes,No,No
"Data Capital","AI & Machine Learning",Mid-Market,"Mid-Market, Series B/C",Medium,no,no,No,No,No
"Fin Tech","Data & Analytics",Mid-Market,"Mid-Market, Series B/C",Medium,no,no,No,No,No
"Lumi Web","Fintech",Mid-Market,"Mid-Market, Series B/C",Very High,no,no,No,No,No
"NexusSoft","Data & Analytics",Mid-Market,"Boutique, Fast-Growing",High,no,no,Yes,No,No
"Kinex Robotics","Logistics Tech",Mid-Market,"Boutique, Fast-Growing",Very High,no,no,Yes,Yes,No
"NeuroLabs","AI & Machine Learning",Mid-Market,"Mid-Market, Series B/C",Medium-High,no,no,No,No,No
"Deep Dynamics","HealthTech",Mid-Market,"Mid-Market, Series B/C",Very High,no,no,No,No,No
"Synthe Capital","Fintech",Mid-Market,"Boutique, Fast-Growing",Medium,no,no,Yes,No,No
"Quantum Systems","HR Tech",Mid-Market,"Boutique, Fast-Growing",Medium,no,no,Yes,No,No
"Echo Ops","HealthTech",Mid-Market,"Boutique, Fast-Growing",Very High,no,no,Yes,No,No
"Synthe Cloud","Logistics Tech",Mid-Market,"Mid-Market, Series B/C",Medium,no,no,No,No,No
"Shift Sphere","HR Tech",Mid-Market,"Mid-Market, Series B/C",Medium-High,no,no,No,No,No
"OmniSystems","Web3 & Crypto",Mid-Market,"Boutique, Fast-Growing",High,no,no,Yes,No,No
"Flux Grid","HealthTech",Mid-Market,"Boutique, Fast-Growing",High,no,no,Yes,No,No
"CyberLogic","HR Tech",Mid-Market,"Mid-Market, Series B/C",Medium,no,no,No,No,No
"ForgeTechnologies","HR Tech",Mid-Market,"Boutique, Fast-Growing",Medium,no,no,Yes,No,No
"TechTech","Legal Tech",Mid-Market,"Mid-Market, Series B/C",Medium,no,no,No,No,No
"SyntheWeb","Fintech",Mid-Market,"Boutique, Fast-Growing",High,no,no,Yes,No,No
"Tech Health","HealthTech",Mid-Market,"Mid-Market, Series B/C",Medium-High,no,no,No,No,No
"OmniRobotics","Data & Analytics",Mid-Market,"Mid-Market, Series B/C",Medium,no,no,No,No,No
"Core Data","Cloud Infrastructure",Mid-Market,"Boutique, Fast-Growing",Very High,no,no,Yes,No,No
"Shift Intelligence","Logistics Tech",Mid-Market,"Boutique, Fast-Growing",Medium,no,no,Yes,No,No
"Forge Sphere","Web3 & Crypto",Mid-Market,"Boutique, Fast-Growing",High,no,no,Yes,No,No
"Cyber Security","Consumer Tech",Mid-Market,"Mid-Market, Series B/C",Medium-High,no,no,No,No,No
"Apex Logic","E-commerce",Mid-Market,"Mid-Market, Series B/C",Medium-High,no,no,No,No,No
"Axiom Grid","Enterprise SaaS",Mid-Market,"Mid-Market, Series B/C",Medium-High,no,no,No,No,No
"HealthVentures","Enterprise SaaS",Mid-Market,"Mid-Market, Series B/C",Medium,no,no,No,No,No
"QuantumSolutions","Data & Analytics",Mid-Market,"Mid-Market, Series B/C",Medium,no,no,No,No,No
"ApexNetworks","Data & Analytics",Mid-Market,"Mid-Market, Series B/C",Medium-High,no,no,No,No,No
"PulseAI","Cloud Infrastructure",Mid-Market,"Mid-Market, Series B/C",Very High,no,no,No,No,No
"Data Sphere","Consumer Tech",Mid-Market,"Mid-Market, Series B/C",Very High,no,no,No,No,No
"NeuroAnalytics","Web3 & Crypto",Mid-Market,"Boutique, Fast-Growing",High,no,no,Yes,No,No
"ShiftVentures","Consumer Tech",Mid-Market,"Mid-Market, Series B/C",High,no,no,No,No,No
"KinexIntelligence","Legal Tech",Mid-Market,"Boutique, Fast-Growing",Very High,no,no,Yes,No,No
"Lumi Intelligence","AI & Machine Learning",Mid-Market,"Boutique, Fast-Growing",Medium,no,no,Yes,No,No
"Nexus Solutions","CleanTech",Mid-Market,"Mid-Market, Series B/C",Medium-High,no,no,No,No,No
"Synthe Networks","CleanTech",Mid-Market,"Boutique, Fast-Growing",High,no,no,Yes,No,No
"Nexus Health","Fintech",Mid-Market,"Boutique, Fast-Growing",Medium-High,no,no,Yes,No,No
"Shift Solutions","Web3 & Crypto",Mid-Market,"Boutique, Fast-Growing",Medium-High,no,no,Yes,No,No
"Vanguard Solutions","Enterprise SaaS",Mid-Market,"Mid-Market, Series B/C",High,no,no,No,No,No
"Cloud Ops","Fintech",Mid-Market,"Boutique, Fast-Growing",Medium-High,no,no,Yes,No,No
"Core Matrix","Cloud Infrastructure",Mid-Market,"Boutique, Fast-Growing",High,no,no,Yes,No,No
"Nova AI","Enterprise SaaS",Mid-Market,"Mid-Market, Series B/C",Medium,no,no,No,No,No
"Nova Matrix","Cloud Infrastructure",Mid-Market,"Boutique, Fast-Growing",Medium,no,no,Yes,No,No
"Neuro Health","Logistics Tech",Mid-Market,"Boutique, Fast-Growing",Medium,no,no,Yes,No,No
"FluxAI","Logistics Tech",Mid-Market,"Mid-Market, Series B/C",Medium-High,no,no,No,No,No
"Deep Networks","Consumer Tech",Mid-Market,"Mid-Market, Series B/C",Medium-High,no,no,No,No,No
"Aegis Logic","Legal Tech",Mid-Market,"Mid-Market, Series B/C",Very High,no,no,No,No,No
"Nexus AI","Cybersecurity",Mid-Market,"Mid-Market, Series B/C",Very High,no,no,No,No,No
"CogitoWeb","Cybersecurity",Mid-Market,"Boutique, Fast-Growing",Medium,no,no,Yes,Yes,No
"Synthe Ops","Logistics Tech",Mid-Market,"Mid-Market, Series B/C",Medium-High,no,no,No,No,No
"Cyber Logic","CleanTech",Mid-Market,"Mid-Market, Series B/C",Medium,no,no,No,No,No
"Quantum Sphere","Fintech",Mid-Market,"Boutique, Fast-Growing",Medium-High,no,no,Yes,No,No
"Shift AI","Cloud Infrastructure",Mid-Market,"Mid-Market, Series B/C",Medium-High,no,no,No,No,No
"Echo Soft","Web3 & Crypto",Mid-Market,"Mid-Market, Series B/C",Medium-High,no,no,No,No,No
"Echo Security","Logistics Tech",Mid-Market,"Mid-Market, Series B/C",High,no,no,No,No,No
"OmniCloud","Legal Tech",Mid-Market,"Boutique, Fast-Growing",High,no,no,Yes,No,No
"Lumi Genomics","Consumer Tech",Mid-Market,"Mid-Market, Series B/C",Medium,no,no,No,No,No
"ApexLogic","Fintech",Mid-Market,"Boutique, Fast-Growing",Medium-High,no,no,Yes,No,No
"Shift Robotics","Cybersecurity",Mid-Market,"Boutique, Fast-Growing",Medium-High,no,no,Yes,No,No
"Quantum Data","Web3 & Crypto",Mid-Market,"Mid-Market, Series B/C",Very High,no,no,No,No,No
"Vault Tech","Cloud Infrastructure",Mid-Market,"Mid-Market, Series B/C",Medium,no,no,No,No,No
"Pulse Health","E-commerce",Mid-Market,"Boutique, Fast-Growing",Medium-High,no,no,Yes,No,No
"Cogito Sphere","CleanTech",Mid-Market,"Boutique, Fast-Growing",Medium,no,no,Yes,No,No
"Quantum Logic","Web3 & Crypto",Mid-Market,"Boutique, Fast-Growing",Medium-High,no,no,Yes,No,No
"Zephyr Logic","Web3 & Crypto",Mid-Market,"Mid-Market, Series B/C",Medium-High,no,no,No,No,No
"Cogito Solutions","Consumer Tech",Mid-Market,"Boutique, Fast-Growing",Medium,no,no,Yes,No,No
"Nova AI","Consumer Tech",Mid-Market,"Boutique, Fast-Growing",Very High,no,no,Yes,No,No
"FluxIntelligence","Data & Analytics",Mid-Market,"Mid-Market, Series B/C",High,no,no,No,No,No
"Nova Analytics","HealthTech",Mid-Market,"Boutique, Fast-Growing",Medium,no,no,Yes,No,No
"Nova Labs","Data & Analytics",Mid-Market,"Mid-Market, Series B/C",Medium-High,no,no,No,No,No
"Shift Matrix","Cybersecurity",Mid-Market,"Boutique, Fast-Growing",Medium-High,no,no,Yes,No,No
"Bio Systems","CleanTech",Mid-Market,"Mid-Market, Series B/C",High,no,no,No,No,No
"Quantum Security","Logistics Tech",Mid-Market,"Mid-Market, Series B/C",Medium-High,no,no,No,No,No
"Quantum Data","HealthTech",Mid-Market,"Boutique, Fast-Growing",Very High,no,no,Yes,No,No
"Cyber Labs","Fintech",Mid-Market,"Boutique, Fast-Growing",Medium,no,no,Yes,No,No
"HealthSphere","Consumer Tech",Mid-Market,"Mid-Market, Series B/C",High,no,no,No,No,No
"Apex Genomics","Fintech",Mid-Market,"Mid-Market, Series B/C",Medium,no,no,No,No,No
"Pulse Systems","Cloud Infrastructure",Mid-Market,"Mid-Market, Series B/C",High,no,no,No,No,No
"Synthe Grid","Cybersecurity",Mid-Market,"Boutique, Fast-Growing",Medium-High,no,no,Yes,Yes,No
"Health Ventures","E-commerce",Mid-Market,"Mid-Market, Series B/C",High,no,no,No,No,No
"Deep Matrix","Logistics Tech",Mid-Market,"Boutique, Fast-Growing",High,no,no,Yes,No,No
"Health Grid","HealthTech",Mid-Market,"Mid-Market, Series B/C",Medium,no,no,No,Yes,No
"Neuro AI","HealthTech",Mid-Market,"Boutique, Fast-Growing",Medium,no,no,Yes,No,No
"SyntheLogic","Legal Tech",Mid-Market,"Mid-Market, Series B/C",Medium,no,no,No,No,No
"Omni Ventures","Data & Analytics",Mid-Market,"Mid-Market, Series B/C",Medium-High,no,no,No,No,No
"HealthSecurity","HR Tech",Mid-Market,"Mid-Market, Series B/C",High,no,no,No,No,No
"FluxMatrix","HealthTech",Mid-Market,"Mid-Market, Series B/C",Very High,no,no,No,No,No
"Forge Web","Enterprise SaaS",Mid-Market,"Boutique, Fast-Growing",Medium-High,no,no,Yes,No,No
"Vanguard Web","HR Tech",Mid-Market,"Mid-Market, Series B/C",Medium-High,no,no,No,No,No
"Vertex Networks","Data & Analytics",Mid-Market,"Boutique, Fast-Growing",High,no,no,Yes,No,No
"Cogito Analytics","Cybersecurity",Mid-Market,"Boutique, Fast-Growing",Very High,no,no,Yes,No,No
"AxiomLabs","Legal Tech",Mid-Market,"Mid-Market, Series B/C",Medium,no,no,No,No,No
"Pulse Dynamics","HR Tech",Mid-Market,"Mid-Market, Series B/C",Very High,no,no,No,No,No
"Apex Logic","HealthTech",Mid-Market,"Mid-Market, Series B/C",Medium-High,no,no,No,No,No
"Lumi Labs","Cloud Infrastructure",Mid-Market,"Mid-Market, Series B/C",Very High,no,no,No,No,No
"LumiAI","E-commerce",Mid-Market,"Mid-Market, Series B/C",Very High,no,no,No,No,No
"NovaHealth","Fintech",Mid-Market,"Mid-Market, Series B/C",High,no,no,No,No,No
"Vault Cloud","Legal Tech",Mid-Market,"Boutique, Fast-Growing",Medium-High,no,no,Yes,No,No
"CloudCloud","Cybersecurity",Mid-Market,"Boutique, Fast-Growing",Medium,no,no,Yes,No,No
"VertexWeb","E-commerce",Mid-Market,"Mid-Market, Series B/C",Very High,no,no,No,No,No
"Aegis Dynamics","Cybersecurity",Mid-Market,"Boutique, Fast-Growing",Medium,no,no,Yes,No,No
"FluxCapital","AI & Machine Learning",Mid-Market,"Boutique, Fast-Growing",Medium,no,no,Yes,No,No
"TechSystems","CleanTech",Mid-Market,"Boutique, Fast-Growing",Medium,no,no,Yes,No,No
"Vanguard Matrix","HealthTech",Mid-Market,"Boutique, Fast-Growing",Medium,no,no,Yes,No,No
"Echo Genomics","Logistics Tech",Mid-Market,"Boutique, Fast-Growing",Medium,no,no,Yes,No,No
"FluxIntelligence","CleanTech",Mid-Market,"Mid-Market, Series B/C",Medium,no,no,No,No,No
"OmniMatrix","HealthTech",Mid-Market,"Mid-Market, Series B/C",High,no,no,No,No,No
"Flux Technologies","Enterprise SaaS",Mid-Market,"Mid-Market, Series B/C",Medium,no,no,No,No,No
"TechSecurity","AI & Machine Learning",Mid-Market,"Mid-Market, Series B/C",Medium,no,no,No,No,No
"Bio Tech","Logistics Tech",Mid-Market,"Boutique, Fast-Growing",Very High,no,no,Yes,No,No
"NexusSecurity","Data & Analytics",Mid-Market,"Mid-Market, Series B/C",Very High,no,no,No,No,No
"Vertex Security","Consumer Tech",Mid-Market,"Boutique, Fast-Growing",Medium,no,no,Yes,No,No
"EchoHealth","Legal Tech",Mid-Market,"Mid-Market, Series B/C",Medium,no,no,No,No,No
"Cogito Systems","HealthTech",Mid-Market,"Boutique, Fast-Growing",High,no,no,Yes,No,No
"Fin Health","HealthTech",Mid-Market,"Boutique, Fast-Growing",Medium,no,no,Yes,No,No
"Fin Systems","Enterprise SaaS",Mid-Market,"Boutique, Fast-Growing",High,no,no,Yes,No,No
"Neuro Genomics","HealthTech",Mid-Market,"Boutique, Fast-Growing",Medium,no,no,Yes,No,No
"Neuro Systems","Cloud Infrastructure",Mid-Market,"Mid-Market, Series B/C",Very High,no,no,No,No,No
"Vault Matrix","Web3 & Crypto",Mid-Market,"Boutique, Fast-Growing",Very High,no,no,Yes,No,No
"Kinex Systems","Logistics Tech",Mid-Market,"Mid-Market, Series B/C",Very High,no,no,No,No,No
"Cogito Sphere","HealthTech",Mid-Market,"Boutique, Fast-Growing",Very High,no,no,Yes,No,No
"Synthe AI","Enterprise SaaS",Mid-Market,"Boutique, Fast-Growing",Medium,no,no,Yes,No,No
"Nova Capital","HR Tech",Mid-Market,"Boutique, Fast-Growing",Medium-High,no,no,Yes,No,No
"BioSecurity","Data & Analytics",Mid-Market,"Boutique, Fast-Growing",Medium,no,no,Yes,No,No
"Omni Ops","Cloud Infrastructure",Mid-Market,"Boutique, Fast-Growing",Medium-High,no,no,Yes,No,No
"Omni Intelligence","Web3 & Crypto",Mid-Market,"Mid-Market, Series B/C",Very High,no,no,No,No,No
"Shift Grid","Consumer Tech",Mid-Market,"Mid-Market, Series B/C",Medium-High,no,no,No,No,No
"Nova Analytics","Cloud Infrastructure",Mid-Market,"Mid-Market, Series B/C",Medium,no,no,No,No,No
"Tech Dynamics","Consumer Tech",Mid-Market,"Boutique, Fast-Growing",Medium-High,no,no,Yes,No,No
"Apex Networks","Cloud Infrastructure",Mid-Market,"Boutique, Fast-Growing",Medium,no,no,Yes,No,No
"Cogito AI","Data & Analytics",Mid-Market,"Mid-Market, Series B/C",High,no,no,No,Yes,No
"Flux Web","Data & Analytics",Mid-Market,"Mid-Market, Series B/C",Medium-High,no,no,No,No,No
"Nova Cloud","Logistics Tech",Mid-Market,"Mid-Market, Series B/C",Very High,no,no,No,No,No
"Core Analytics","Web3 & Crypto",Mid-Market,"Boutique, Fast-Growing",Very High,no,no,Yes,No,No
"NeuroLabs","Enterprise SaaS",Mid-Market,"Mid-Market, Series B/C",High,no,no,No,No,No
"Neuro Matrix","Cloud Infrastructure",Mid-Market,"Mid-Market, Series B/C",High,no,no,No,Yes,No
"Core Capital","Cybersecurity",Mid-Market,"Boutique, Fast-Growing",Medium,no,no,Yes,No,No
"Vault Web","HR Tech",Mid-Market,"Mid-Market, Series B/C",Very High,no,no,No,No,No
